                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.81666,                0.54601,                0.87515,                0.91303,                0.91297,                 0.9342,                0.73941,                0.85874,                 0.5163,                0.93697,              0.0010555,              0.0010555,              0.0010555
                     68,                0.80077,                0.53466,                0.87146,                0.91015,                0.91744,                0.92376,                 0.7254,                0.81765,                0.51623,                0.92149,              0.0010499,              0.0010499,              0.0010499
                     69,                0.82335,                0.54458,                0.87989,                0.93566,                0.90643,                0.93123,                0.74082,                0.81103,                0.49306,                0.92487,              0.0010442,              0.0010442,              0.0010442
                     70,                0.80473,                0.54096,                0.87096,                0.90799,                0.91968,                0.91149,                0.71285,                0.85735,                0.52148,                0.94382,              0.0010385,              0.0010385,              0.0010385
                     71,                0.81007,                0.53565,                0.86858,                0.91208,                0.89064,                0.92225,                 0.7264,                0.83178,                0.51867,                0.94576,              0.0010329,              0.0010329,              0.0010329
                     72,                0.79855,                0.52042,                0.86416,                0.90873,                0.89977,                0.90946,                 0.7216,                0.81962,                0.50644,                0.93433,              0.0010272,              0.0010272,              0.0010272
                     73,                0.78639,                0.52086,                0.86685,                0.88063,                0.91517,                0.89443,                0.71032,                0.84951,                0.54772,                0.94343,              0.0010216,              0.0010216,              0.0010216
                     74,                0.79081,                0.52007,                0.87364,                0.89677,                0.89028,                0.90461,                0.71549,                0.80544,                0.50972,                0.93132,              0.0010159,              0.0010159,              0.0010159
                     75,                0.79351,                0.53147,                0.87284,                0.85071,                0.91831,                0.87781,                0.69325,                0.83524,                0.55304,                0.93884,              0.0010102,              0.0010102,              0.0010102
                     76,                0.78988,                0.52246,                 0.8636,                0.91195,                0.90834,                0.92347,                0.73586,                0.84134,                0.48862,                0.94726,              0.0010046,              0.0010046,              0.0010046
                     77,                0.79712,                 0.5335,                0.86835,                0.89224,                 0.9147,                0.91134,                0.72691,                0.82807,                 0.4861,                0.93587,             0.00099893,             0.00099893,             0.00099893
